NO_OF_FRAMES	24000
NO_OF_CAMERAS	18
NO_OF_MARKERS	1
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-11, 09:16:52.722	2649.02526600
DATA_INCLUDED	3D
MARKER_NAMES	marker
TRAJECTORY_TYPES	Measured
Frame	Time	marker X	marker Y	marker Z	
262	1.30500	1111.915	845.677	401.533
263	1.31000	1115.875	847.123	400.834
264	1.31500	1119.836	848.504	400.395
265	1.32000	1123.709	849.774	400.207
266	1.32500	1127.590	850.993	400.311
267	1.33000	1131.367	852.079	400.721
268	1.33500	1135.043	853.085	401.418
269	1.34000	1138.769	854.047	402.381
270	1.34500	1142.466	854.975	403.520
271	1.35000	1146.279	855.871	404.786
272	1.35500	1150.191	856.805	406.199
273	1.36000	1154.208	857.716	407.660
274	1.36500	1158.388	858.648	409.161
275	1.37000	1162.839	859.626	410.632
276	1.37500	1167.456	860.592	412.110
277	1.38000	1172.361	861.583	413.519
278	1.38500	1177.472	862.621	414.864
279	1.39000	1182.738	863.620	416.179
280	1.39500	1188.211	864.652	417.410
281	1.40000	1193.782	865.647	418.580
282	1.40500	1199.469	866.590	419.668
283	1.41000	1205.200	867.507	420.728
284	1.41500	1210.922	868.307	421.724
285	1.42000	1216.605	869.063	422.595
286	1.42500	1222.245	869.859	423.362
287	1.43000	1227.824	870.582	423.962
288	1.43500	1233.387	871.242	424.370
289	1.44000	1238.851	871.835	424.584
290	1.44500	1244.245	872.413	424.594
291	1.45000	1249.708	872.966	424.358
292	1.45500	1255.132	873.526	423.900
293	1.46000	1260.600	874.092	423.175
294	1.46500	1266.139	874.673	422.296
295	1.47000	1271.760	875.229	421.216
296	1.47500	1277.441	875.811	420.015
297	1.48000	1283.195	876.314	418.762
298	1.48500	1289.063	876.738	417.445
299	1.49000	1294.969	877.081	416.120
300	1.49500	1300.869	877.338	414.796
301	1.50000	1306.740	877.555	413.474
302	1.50500	1312.525	877.676	412.166
303	1.51000	1318.265	877.775	410.754
304	1.51500	1323.905	877.886	409.386
305	1.52000	1329.395	877.997	407.921
306	1.52500	1334.891	878.117	406.444
307	1.53000	1340.319	878.243	404.903
308	1.53500	1345.742	878.334	403.338
309	1.54000	1351.198	878.470	401.829
310	1.54500	1356.767	878.633	400.284
311	1.55000	1362.363	878.756	398.854
312	1.55500	1368.120	878.966	397.425
313	1.56000	1374.009	879.153	396.143
314	1.56500	1380.157	879.399	394.939
315	1.57000	1386.474	879.695	393.921
316	1.57500	1393.046	880.024	393.051
317	1.58000	1399.861	880.387	392.284
318	1.58500	1406.954	880.772	391.708
319	1.59000	1414.333	881.197	391.302
320	1.59500	1421.947	881.655	390.998
321	1.60000	1429.770	882.081	390.752
322	1.60500	1437.872	882.561	390.532
323	1.61000	1446.162	883.074	390.283
324	1.61500	1454.602	883.593	390.069
325	1.62000	1463.155	884.160	389.721
326	1.62500	1471.870	884.770	389.225
327	1.63000	1480.690	885.432	388.637
328	1.63500	1489.611	886.111	387.926
329	1.64000	1498.612	886.794	387.077
330	1.64500	1507.676	887.475	386.136
331	1.65000	1516.785	888.071	385.089
332	1.65500	1525.928	888.665	383.908
333	1.66000	1535.035	889.179	382.779
334	1.66500	1544.141	889.667	381.493
335	1.67000	1553.190	890.125	380.160
336	1.67500	1562.176	890.492	378.709
337	1.68000	1571.141	890.890	377.266
338	1.68500	1580.079	891.191	375.714
339	1.69000	1588.894	891.434	374.054
340	1.69500	1597.752	891.672	372.303
341	1.70000	1606.661	891.887	370.447
342	1.70500	1615.508	892.090	368.511
343	1.71000	1624.458	892.299	366.467
344	1.71500	1633.408	892.463	364.369
345	1.72000	1642.358	892.634	362.208
346	1.72500	1651.393	892.755	360.076
347	1.73000	1660.379	892.846	357.947
348	1.73500	1669.343	892.904	355.870
349	1.74000	1678.276	892.937	353.927
350	1.74500	1687.167	892.900	352.042
351	1.75000	1695.903	892.881	350.342
352	1.75500	1704.682	892.802	348.836
353	1.76000	1713.229	892.675	347.487
354	1.76500	1721.657	892.517	346.273
355	1.77000	1729.982	892.361	345.182
356	1.77500	1738.257	892.173	344.234
357	1.78000	1746.498	892.020	343.410
358	1.78500	1754.816	891.864	342.628
359	1.79000	1763.239	891.746	341.985
360	1.79500	1771.777	891.639	341.333
361	1.80000	1780.541	891.576	340.775
362	1.80500	1789.488	891.511	340.309
363	1.81000	1798.707	891.406	339.843
364	1.81500	1808.155	891.274	339.375
365	1.82000	1817.848	891.122	338.951
366	1.82500	1827.727	890.966	338.584
367	1.83000	1837.760	890.780	338.187
368	1.83500	1847.918	890.567	337.788
369	1.84000	1858.117	890.310	337.380
370	1.84500	1868.341	890.044	336.918
371	1.85000	1878.548	889.677	336.413
372	1.85500	1888.741	889.355	335.838
373	1.86000	1898.824	889.011	335.222
374	1.86500	1908.883	888.641	334.519
375	1.87000	1918.904	888.241	333.752
376	1.87500	1928.818	887.809	332.946
377	1.88000	1938.769	887.410	332.166
378	1.88500	1948.724	886.913	331.380
379	1.89000	1958.707	886.378	330.561
380	1.89500	1968.748	885.764	329.844
381	1.90000	1978.819	885.077	329.127
382	1.90500	1988.907	884.297	328.447
383	1.91000	1999.055	883.501	327.804
384	1.91500	2009.137	882.670	327.159
385	1.92000	2019.150	881.774	326.544
386	1.92500	2029.114	880.887	325.961
387	1.93000	2038.947	879.934	325.417
388	1.93500	2048.619	878.925	324.925
389	1.94000	2058.155	877.908	324.476
390	1.94500	2067.476	876.848	324.123
391	1.95000	2076.674	875.767	323.862
392	1.95500	2085.688	874.673	323.668
393	1.96000	2094.571	873.542	323.538
394	1.96500	2103.300	872.429	323.555
395	1.97000	2111.960	871.324	323.693
396	1.97500	2120.585	870.172	323.969
397	1.98000	2129.150	869.005	324.382
398	1.98500	2137.806	867.800	324.956
399	1.99000	2146.445	866.562	325.629
400	1.99500	2155.190	865.222	326.399
401	2.00000	2163.943	863.899	327.241
402	2.00500	2172.837	862.526	328.158
403	2.01000	2181.752	861.181	329.091
404	2.01500	2190.730	859.816	330.040
405	2.02000	2199.728	858.430	330.969
406	2.02500	2208.750	857.054	331.901
407	2.03000	2217.803	855.624	332.826
408	2.03500	2226.839	854.196	333.730
409	2.04000	2235.844	852.751	334.664
410	2.04500	2244.854	851.318	335.628
411	2.05000	2253.800	849.856	336.588
412	2.05500	2262.721	848.430	337.636
413	2.06000	2271.689	846.960	338.763
414	2.06500	2280.613	845.489	339.978
415	2.07000	2289.575	843.947	341.297
416	2.07500	2298.604	842.419	342.719
417	2.08000	2307.657	840.860	344.156
418	2.08500	2316.804	839.226	345.601
419	2.09000	2326.018	837.605	347.099
420	2.09500	2335.288	835.944	348.527
421	2.10000	2344.676	834.310	349.947
422	2.10500	2354.075	832.632	351.268
423	2.11000	2363.484	830.975	352.579
424	2.11500	2372.896	829.285	353.845
425	2.12000	2382.287	827.595	355.027
426	2.12500	2391.600	825.894	356.261
427	2.13000	2400.840	824.188	357.470
428	2.13500	2409.995	822.428	358.716
429	2.14000	2419.062	820.682	360.078
430	2.14500	2428.022	818.970	361.489
431	2.15000	2436.915	817.137	363.001
432	2.15500	2445.730	815.346	364.654
433	2.16000	2454.527	813.512	366.396
434	2.16500	2463.305	811.657	368.203
435	2.17000	2472.092	809.752	370.057
436	2.17500	2480.903	807.813	371.909
437	2.18000	2489.736	805.819	373.759
438	2.18500	2498.599	803.782	375.522
439	2.19000	2507.468	801.744	377.248
440	2.19500	2516.341	799.659	378.807
441	2.20000	2525.182	797.607	380.271
442	2.20500	2533.966	795.544	381.645
443	2.21000	2542.673	793.471	382.874
444	2.21500	2551.227	791.399	384.051
445	2.22000	2559.682	789.349	385.191
446	2.22500	2567.969	787.280	386.292
447	2.23000	2576.111	785.242	387.424
448	2.23500	2584.062	783.212	388.569
449	2.24000	2591.866	781.133	389.756
450	2.24500	2599.505	779.108	391.023
451	2.25000	2607.029	777.045	392.363
452	2.25500	2614.440	775.027	393.732
453	2.26000	2621.822	773.000	395.123
454	2.26500	2629.200	770.973	396.572
455	2.27000	2636.632	768.981	398.027
456	2.27500	2644.205	766.985	399.491
457	2.28000	2651.900	764.951	400.965
458	2.28500	2659.772	762.905	402.380
459	2.29000	2667.829	760.824	403.765
460	2.29500	2676.079	758.723	405.161
461	2.30000	2684.499	756.567	406.544
462	2.30500	2693.059	754.381	407.911
463	2.31000	2701.659	752.181	409.232
464	2.31500	2710.299	749.937	410.549
465	2.32000	2718.942	747.718	411.875
466	2.32500	2727.514	745.464	413.230
467	2.33000	2735.952	743.200	414.569
468	2.33500	2744.272	740.937	415.923
469	2.34000	2752.355	738.672	417.254
470	2.34500	2760.271	736.442	418.574
471	2.35000	2767.975	734.192	419.863
472	2.35500	2775.462	732.040	421.132
473	2.36000	2782.777	729.899	422.324
474	2.36500	2789.958	727.784	423.426
475	2.37000	2797.076	725.676	424.435
476	2.37500	2804.099	723.617	425.411
477	2.38000	2811.087	721.545	426.298
478	2.38500	2818.121	719.447	427.160
479	2.39000	2825.148	717.315	427.885
480	2.39500	2832.215	715.128	428.661
481	2.40000	2839.329	712.945	429.445
482	2.40500	2846.448	710.664	430.257
483	2.41000	2853.523	708.380	431.102
484	2.41500	2860.524	706.056	431.978
485	2.42000	2867.442	703.725	432.908
486	2.42500	2874.251	701.435	433.907
487	2.43000	2880.917	699.129	434.906
488	2.43500	2887.468	696.856	435.985
489	2.44000	2893.794	694.615	437.061
490	2.44500	2900.058	692.410	438.143
491	2.45000	2906.152	690.207	439.214
492	2.45500	2912.208	688.067	440.302
493	2.46000	2918.196	685.867	441.434
494	2.46500	2924.153	683.700	442.548
495	2.47000	2930.116	681.523	443.641
496	2.47500	2936.089	679.331	444.650
497	2.48000	2942.078	677.161	445.695
498	2.48500	2948.175	674.913	446.713
499	2.49000	2954.326	672.682	447.736
500	2.49500	2960.509	670.417	448.730
501	2.50000	2966.748	668.114	449.730
502	2.50500	2973.009	665.791	450.765
503	2.51000	2979.288	663.460	451.835
504	2.51500	2985.573	661.110	452.904
505	2.52000	2991.821	658.772	453.983
506	2.52500	2998.043	656.406	455.080
507	2.53000	3004.216	654.066	456.233
508	2.53500	3010.349	651.696	457.405
509	2.54000	3016.470	649.318	458.622
510	2.54500	3022.488	646.955	459.877
511	2.55000	3028.469	644.545	461.135
512	2.55500	3034.414	642.162	462.436
513	2.56000	3040.330	639.735	463.715
514	2.56500	3046.212	637.292	464.997
515	2.57000	3052.066	634.879	466.230
516	2.57500	3057.927	632.417	467.510
517	2.58000	3063.770	629.947	468.749
518	2.58500	3069.632	627.504	469.992
519	2.59000	3075.484	625.016	471.217
520	2.59500	3081.326	622.508	472.411
521	2.60000	3087.181	619.990	473.640
522	2.60500	3092.967	617.469	474.920
523	2.61000	3098.686	614.926	476.174
524	2.61500	3104.348	612.361	477.495
525	2.62000	3109.954	609.804	478.848
526	2.62500	3115.411	607.247	480.219
527	2.63000	3120.766	604.657	481.615
528	2.63500	3125.967	602.065	483.006
529	2.64000	3131.054	599.516	484.407
530	2.64500	3136.003	597.003	485.801
531	2.65000	3140.825	594.490	487.163
532	2.65500	3145.518	592.005	488.441
533	2.66000	3150.169	589.538	489.734
534	2.66500	3154.755	587.063	490.976
535	2.67000	3159.296	584.593	492.148
536	2.67500	3163.799	582.141	493.296
537	2.68000	3168.335	579.664	494.444
538	2.68500	3172.863	577.154	495.558
539	2.69000	3177.434	574.663	496.683
540	2.69500	3182.019	572.111	497.784
541	2.70000	3186.624	569.543	498.890
542	2.70500	3191.257	566.942	500.011
543	2.71000	3195.894	564.358	501.144
544	2.71500	3200.484	561.775	502.234
545	2.72000	3205.026	559.178	503.365
546	2.72500	3209.515	556.589	504.488
547	2.73000	3213.931	554.007	505.563
548	2.73500	3218.208	551.451	506.703
549	2.74000	3222.338	548.931	507.813
550	2.74500	3226.399	546.395	508.857
551	2.75000	3230.324	543.930	509.916
552	2.75500	3234.149	541.469	510.859
553	2.76000	3237.905	539.062	511.840
554	2.76500	3241.600	536.656	512.715
555	2.77000	3245.270	534.236	513.578
556	2.77500	3248.917	531.854	514.377
557	2.78000	3252.603	529.496	515.172
558	2.78500	3256.306	527.109	515.902
559	2.79000	3260.015	524.693	516.652
560	2.79500	3263.716	522.302	517.415
561	2.80000	3267.462	519.861	518.195
562	2.80500	3271.186	517.420	519.010
563	2.81000	3274.896	514.976	519.888
564	2.81500	3278.596	512.539	520.824
565	2.82000	3282.238	510.098	521.802
566	2.82500	3285.832	507.696	522.885
567	2.83000	3289.367	505.319	524.046
568	2.83500	3292.797	502.934	525.232
569	2.84000	3296.134	500.545	526.508
570	2.84500	3299.383	498.226	527.721
571	2.85000	3302.563	495.920	529.054
572	2.85500	3305.629	493.649	530.381
573	2.86000	3308.600	491.399	531.668
574	2.86500	3311.479	489.189	533.004
575	2.87000	3314.272	487.005	534.354
576	2.87500	3316.964	484.843	535.716
577	2.88000	3319.528	482.696	537.056
578	2.88500	3322.001	480.570	538.407
579	2.89000	3324.406	478.453	539.765
580	2.89500	3326.650	476.383	541.145
581	2.90000	3328.801	474.305	542.471
582	2.90500	3330.844	472.290	543.865
583	2.91000	3332.737	470.267	545.174
584	2.91500	3334.514	468.279	546.492
585	2.92000	3336.158	466.306	547.763
586	2.92500	3337.660	464.379	548.984
587	2.93000	3339.092	462.449	550.139
588	2.93500	3340.393	460.619	551.269
589	2.94000	3341.568	458.782	552.241
590	2.94500	3342.575	456.986	553.100
591	2.95000	3343.427	455.242	553.871
592	2.95500	3344.127	453.576	554.482
593	2.96000	3344.678	451.976	554.987
594	2.96500	3344.998	450.422	555.391
595	2.97000	3345.134	448.940	555.667
596	2.97500	3345.075	447.572	555.819
597	2.98000	3344.816	446.251	555.893
598	2.98500	3344.338	445.061	555.912
599	2.99000	3343.660	443.930	555.877
600	2.99500	3342.809	442.873	555.807
601	3.00000	3341.763	441.883	555.713
602	3.00500	3340.561	440.932	555.634
603	3.01000	3339.222	440.014	555.587
604	3.01500	3337.774	439.154	555.571
605	3.02000	3336.249	438.319	555.591
606	3.02500	3334.677	437.501	555.619
607	3.03000	3333.061	436.724	555.733
608	3.03500	3331.386	435.958	555.870
609	3.04000	3329.709	435.193	556.046
610	3.04500	3328.014	434.409	556.219
611	3.05000	3326.288	433.662	556.401
612	3.05500	3324.520	432.929	556.548
613	3.06000	3322.709	432.238	556.668
614	3.06500	3320.804	431.582	556.723
615	3.07000	3318.789	430.977	556.745
616	3.07500	3316.647	430.422	556.734
617	3.08000	3314.405	429.925	556.678
618	3.08500	3311.970	429.500	556.609
619	3.09000	3309.360	429.117	556.496
620	3.09500	3306.560	428.816	556.379
621	3.10000	3303.596	428.605	556.281
622	3.10500	3300.446	428.441	556.160
623	3.11000	3297.114	428.358	556.009
624	3.11500	3293.617	428.332	555.901
625	3.12000	3290.002	428.384	555.801
626	3.12500	3286.239	428.477	555.694
627	3.13000	3282.348	428.649	555.544
628	3.13500	3278.374	428.850	555.423
629	3.14000	3274.250	429.103	555.213
